23.01.2013 13:09:12.580: <http://fa.wikipedia.org/wiki/مهندسی> <http://www.w3.org/2000/01/rdf-schema#label> "مهندسی"@fa . with result 200
23.01.2013 13:09:14.034: <http://fa.wikipedia.org/wiki/آزمایشگاه_روی_تراشه> <http://www.w3.org/2000/01/rdf-schema#label> "آزمایشگاه روی تراشه"@fa . with result 200
23.01.2013 13:09:15.781: <http://fa.wikipedia.org/wiki/آمار_مهندسی> <http://www.w3.org/2000/01/rdf-schema#label> "آمار مهندسی"@fa . with result 200
23.01.2013 19:39:29.914: <http://fa.wikipedia.org/w/index.php?title=رده:روان‌شناسی&amp;pagefrom=نظریه محاسباتی ذهن#mw-pages> <http://www.w3.org/2000/01/rdf-schema#label> "۲۰۰تای بعدی"@fa . with result 200
23.01.2013 19:39:30.734: <http://fa.wikipedia.org/wiki/آلفرد_آدلر> <http://www.w3.org/2000/01/rdf-schema#label> "آلفرد آدلر"@fa . with result 200
23.01.2013 19:39:31.725: <http://fa.wikipedia.org/wiki/آزارگری-آزارطلبی_جنسی> <http://www.w3.org/2000/01/rdf-schema#label> "آزارگری-آزارطلبی جنسی"@fa . with result 200
23.01.2013 19:39:32.810: <http://fa.wikipedia.org/wiki/آزمایش_زندان_استنفورد> <http://www.w3.org/2000/01/rdf-schema#label> "آزمایش زندان استنفورد"@fa . with result 200
23.01.2013 19:39:33.893: <http://fa.wikipedia.org/wiki/آزمون_روانی> <http://www.w3.org/2000/01/rdf-schema#label> "آزمون روانی"@fa . with result 200
23.01.2013 19:39:34.614: <http://fa.wikipedia.org/wiki/آشناپنداری> <http://www.w3.org/2000/01/rdf-schema#label> "آشناپنداری"@fa . with result 200
23.01.2013 19:39:35.862: <http://fa.wikipedia.org/wiki/آلبرت_بندورا> <http://www.w3.org/2000/01/rdf-schema#label> "آلبرت بندورا"@fa . with result 200
23.01.2013 19:39:36.875: <http://fa.wikipedia.org/wiki/آمیزش_جنسی> <http://www.w3.org/2000/01/rdf-schema#label> "آمیزش جنسی"@fa . with result 200
23.01.2013 19:39:37.754: <http://fa.wikipedia.org/wiki/اثر_پیگمالیون> <http://www.w3.org/2000/01/rdf-schema#label> "اثر پیگمالیون"@fa . with result 200
23.01.2013 19:39:38.739: <http://fa.wikipedia.org/wiki/اختلال_تنش‌زای_پس_از_رویداد> <http://www.w3.org/2000/01/rdf-schema#label> "اختلال تنش‌زای پس از رویداد"@fa . with result 200
23.01.2013 19:39:39.570: <http://fa.wikipedia.org/wiki/اختلال_خلقی> <http://www.w3.org/2000/01/rdf-schema#label> "اختلال خلقی"@fa . with result 200
23.01.2013 19:39:40.747: <http://fa.wikipedia.org/wiki/اختلال_شخصیت> <http://www.w3.org/2000/01/rdf-schema#label> "اختلال شخصیت"@fa . with result 200
23.01.2013 19:39:41.439: <http://fa.wikipedia.org/wiki/اختلال_شخصیت_اسکیزویید> <http://www.w3.org/2000/01/rdf-schema#label> "اختلال شخصیت اسکیزویید"@fa . with result 200
23.01.2013 19:39:42.486: <http://fa.wikipedia.org/wiki/اختلال_شخصیت_ضد_اجتماعی> <http://www.w3.org/2000/01/rdf-schema#label> "اختلال شخصیت ضد اجتماعی"@fa . with result 200
23.01.2013 19:39:43.316: <http://fa.wikipedia.org/wiki/اختلال_شخصیت_مرزی> <http://www.w3.org/2000/01/rdf-schema#label> "اختلال شخصیت مرزی"@fa . with result 200
23.01.2013 19:39:43.909: <http://fa.wikipedia.org/wiki/اختلال_شخصیت_نمایشی> <http://www.w3.org/2000/01/rdf-schema#label> "اختلال شخصیت نمایشی"@fa . with result 200
23.01.2013 19:39:45.103: <http://fa.wikipedia.org/wiki/اختلال_وسواسی_جبری> <http://www.w3.org/2000/01/rdf-schema#label> "اختلال وسواسی جبری"@fa . with result 200
